title,organization,department,track,domain,description,published,maxTeams,order
Identification and protection of Virtual Network Computing VNC based data exfiltration attacks,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a system that simulates various data exfiltration scenarios using TigerVNC and RealVNC and suggests defense mechanisms to detect and prevent data exfiltration attacks using Virtual Network Computing servers.,true,,223
Design and build a multimodal Retrieval-Augmented Generation RAG system using LLM for OFFLINE mode,National Technical Research Organisation (NTRO),,Software,Open Innovation,Build a multimodal RAG system that can ingest index and query diverse data formats like DOC PDF images and audio recordings supporting natural language queries generating grounded summaries with a unified query interface and cross-format search in offline mode.,true,,224
Detection of Open Crust Mining Activity and 3D visualization,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a software tool to automatically detect and visualize open crust mining activity from satellite imagery identifying mining areas calculating mining depth and volume generating reports with 3D visualization and an interactive mapping platform integration.,true,,225
Automated Vulnerability Assessment and Penetration Testing tool for CCTV cameras and DVRs,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an automated Vulnerability Assessment and Penetration Testing tool for CCTV cameras and DVRs scanning for vulnerabilities simulating attacks and using machine learning for anomaly detection and vulnerability prediction.,true,,226
Centralized Vulnerability Detection and Intelligent Query Interface,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a centralized vulnerability detection system with a web GUI integrating various scanning tools aggregating scan results correlating them with threat intelligence and providing a RAG-based chatbot for natural language queries on vulnerabilities.,true,,227
Portable log analysis tool for isolated network,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a portable log analysis tool for isolated networks to monitor cybersecurity events collecting parsing and analyzing logs from various sources without relying on external services with offline functionality multi-source log collection and reporting capabilities.,true,,228
Application software to obfuscate object file using Low Level Virtual Machine LLVM,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an application that obfuscates object files generated from C and C++ code using LLVM generating obfuscated binaries for Windows and Linux making them difficult to reverse engineer and providing a report detailing the obfuscation process.,true,,229
Multi-Platform System Hardening Tool,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an automated cross-platform security hardening tool that assesses enforces and reports compliance for operating systems including Windows Ubuntu and CentOS to replace the manual time-consuming and error-prone hardening process.,true,,230
Development of Threat rules in ELK Stack for detecting Advanced Persistent Threats APTs,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop threat rules within an ELK stack Elasticsearch Logstash Kibana to detect Advanced Persistent Threats by analyzing log data from various sources to identify suspicious activities indicative of APT attacks using APT samples for realistic data generation.,true,,231
AI/ML-Based Identification of Cryptographic Primitives and Protocols in Multi-Architecture Firmware Binaries,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop an AI/ML-based framework to automatically identify and analyze cryptographic primitives and protocols within firmware binaries across various architectures detecting known and proprietary crypto implementations and identifying protocol patterns in black-box firmware.,true,,232
AI/ML based text-to-text machine translation from Nepalese and Sinhalese to English,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop AI/ML-based software to translate printed text from Nepalese and Sinhalese languages into English to make literature accessible to a wider audience overcoming the limitations of manual translation.,true,,233
Empowering Gram Panchayats to manage daily Operation and Maintenance of Rural Piped Water Supply Systems using low-cost digital tools,Ministry of Jal Shakti (MoJS),,Software,Open Innovation,Empower Gram Panchayats to manage rural piped water supply systems using low-cost digital tools for monitoring preventive maintenance and water quality checks to improve functionality efficiency and sustainability of these systems.,true,,234
Deep learning based Audio Language Model that can Listen Think and Understand speech and non-speech,Ministry of Defence (MoD),,Software,Industry & MSME Innovation,Develop an Audio Language Model that can understand both speech and non-speech audio signals capable of speech recognition audio event detection speaker diarization and paralinguistic analysis using a dataset including Asian languages.,true,,235
AI-Based Underwater Image Enhancement System for Increased Maritime Security,Ministry of Defence (MoD),,Software,Open Innovation,Develop an AI-driven system to enhance underwater images for improved maritime security addressing low visibility and color distortion to enable better threat detection and reconnaissance deployable on edge devices for real-time image enhancement.,true,,236
User and Entity Behaviour Analytics UEBA for internal threat identification,Ministry of Defence (MoD),,Software,Open Innovation,Develop a UEBA solution leveraging machine learning to detect anomalies in user behavior to identify internal threats within an organization overcoming the limitations of traditional security tools.,true,,237
Automated Comprehensive Technology Intelligence and Forecasting Platform,Ministry of Defence (MoD),,Software,Industry & MSME Innovation,Develop an automated platform for DRDO to gather and analyze technology intelligence forecast trends and aid strategic decision-making integrating data from various sources providing real-time updates and generating forecasts to replace time-consuming manual methods.,true,,238
AI-powered monitoring of crop health soil condition and pest risks using multispectral imaging and sensor data,MathWorks India Pvt. Ltd.,,Software,Education,Develop an AI-powered platform for monitoring crop health soil conditions and pest risks using multispectral/hyperspectral imaging and sensor data integrating remote sensing to provide timely insights and actionable alerts for proactive crop management using AI ML and DL techniques.,true,,94
Accelerating High-Fidelity Road Network Modeling for Indian Traffic Simulations,MathWorks India Pvt. Ltd.,,Software,Transportation,Develop toolsets and workflows to accelerate creation of detailed digital twins of Indian road networks for realistic traffic simulations incorporating features like potholes and erratic driver behavior to improve traffic management and infrastructure planning.,true,,95
